letter_name,count_all,count_uppercase,percent
N,6,6,1.7142857142857142
e,25,0,7.142857142857143
w,5,0,1.4285714285714286
s,22,0,6.285714285714286
S,1,1,0.2857142857142857
o,10,0,2.857142857142857
m,2,0,0.5714285714285714
t,30,0,8.571428571428571
h,8,0,2.2857142857142856
i,28,0,8.0
n,20,0,5.714285714285714
g,6,0,1.7142857142857142
r,17,0,4.857142857142857
a,33,0,9.428571428571429
p,6,0,1.7142857142857142
d,19,0,5.428571428571429
L,4,4,1.1428571428571428
v,13,0,3.7142857142857144
P,5,5,1.4285714285714286
A,15,15,4.285714285714286
I,1,1,0.2857142857142857
b,1,0,0.2857142857142857
u,20,0,5.714285714285714
y,13,0,3.7142857142857144
c,6,0,1.7142857142857142
l,19,0,5.428571428571429
U,2,2,0.5714285714285714
f,3,0,0.8571428571428571
T,4,4,1.1428571428571428
E,1,1,0.2857142857142857
j,2,0,0.5714285714285714
F,1,1,0.2857142857142857
B,1,1,0.2857142857142857
K,1,1,0.2857142857142857
